run_order,run_id,task_id,task_source,task_type,agent,condition,replication
33,ccx-migration-196-claude-code-baseline-r1,ccx-migration-196,codescalebench,migration,claude-code,baseline,1
34,ccx-migration-196-claude-code-cgp-r1,ccx-migration-196,codescalebench,migration,claude-code,cgp,1
35,ccx-migration-196-gemini-cli-baseline-r1,ccx-migration-196,codescalebench,migration,gemini-cli,baseline,1
36,ccx-migration-196-gemini-cli-cgp-r1,ccx-migration-196,codescalebench,migration,gemini-cli,cgp,1
37,ccx-migration-197-codex-baseline-r1,ccx-migration-197,codescalebench,migration,codex,baseline,1
38,ccx-migration-197-codex-cgp-r1,ccx-migration-197,codescalebench,migration,codex,cgp,1
39,ccx-migration-197-claude-code-baseline-r1,ccx-migration-197,codescalebench,migration,claude-code,baseline,1
40,ccx-migration-197-claude-code-cgp-r1,ccx-migration-197,codescalebench,migration,claude-code,cgp,1
41,ccx-migration-197-gemini-cli-baseline-r1,ccx-migration-197,codescalebench,migration,gemini-cli,baseline,1
42,ccx-migration-197-gemini-cli-cgp-r1,ccx-migration-197,codescalebench,migration,gemini-cli,cgp,1
43,ccx-migration-198-codex-baseline-r1,ccx-migration-198,codescalebench,migration,codex,baseline,1
44,ccx-migration-198-codex-cgp-r1,ccx-migration-198,codescalebench,migration,codex,cgp,1
45,ccx-migration-198-claude-code-baseline-r1,ccx-migration-198,codescalebench,migration,claude-code,baseline,1
46,ccx-migration-198-claude-code-cgp-r1,ccx-migration-198,codescalebench,migration,claude-code,cgp,1
47,ccx-migration-198-gemini-cli-baseline-r1,ccx-migration-198,codescalebench,migration,gemini-cli,baseline,1
48,ccx-migration-198-gemini-cli-cgp-r1,ccx-migration-198,codescalebench,migration,gemini-cli,cgp,1
49,ccx-migration-199-codex-baseline-r1,ccx-migration-199,codescalebench,migration,codex,baseline,1
50,ccx-migration-199-codex-cgp-r1,ccx-migration-199,codescalebench,migration,codex,cgp,1
51,ccx-migration-199-claude-code-baseline-r1,ccx-migration-199,codescalebench,migration,claude-code,baseline,1
52,ccx-migration-199-claude-code-cgp-r1,ccx-migration-199,codescalebench,migration,claude-code,cgp,1
53,ccx-migration-199-gemini-cli-baseline-r1,ccx-migration-199,codescalebench,migration,gemini-cli,baseline,1
54,ccx-migration-199-gemini-cli-cgp-r1,ccx-migration-199,codescalebench,migration,gemini-cli,cgp,1
55,ccx-migration-200-codex-baseline-r1,ccx-migration-200,codescalebench,migration,codex,baseline,1
56,ccx-migration-200-codex-cgp-r1,ccx-migration-200,codescalebench,migration,codex,cgp,1
57,ccx-migration-200-claude-code-baseline-r1,ccx-migration-200,codescalebench,migration,claude-code,baseline,1
58,ccx-migration-200-claude-code-cgp-r1,ccx-migration-200,codescalebench,migration,claude-code,cgp,1
59,ccx-migration-200-gemini-cli-baseline-r1,ccx-migration-200,codescalebench,migration,gemini-cli,baseline,1
60,ccx-migration-200-gemini-cli-cgp-r1,ccx-migration-200,codescalebench,migration,gemini-cli,cgp,1
61,ccx-migration-201-codex-baseline-r1,ccx-migration-201,codescalebench,migration,codex,baseline,1
62,ccx-migration-201-codex-cgp-r1,ccx-migration-201,codescalebench,migration,codex,cgp,1
63,ccx-migration-201-claude-code-baseline-r1,ccx-migration-201,codescalebench,migration,claude-code,baseline,1
64,ccx-migration-201-claude-code-cgp-r1,ccx-migration-201,codescalebench,migration,claude-code,cgp,1
65,ccx-migration-201-gemini-cli-baseline-r1,ccx-migration-201,codescalebench,migration,gemini-cli,baseline,1
66,ccx-migration-201-gemini-cli-cgp-r1,ccx-migration-201,codescalebench,migration,gemini-cli,cgp,1
67,ccx-migration-202-codex-baseline-r1,ccx-migration-202,codescalebench,migration,codex,baseline,1
68,ccx-migration-202-codex-cgp-r1,ccx-migration-202,codescalebench,migration,codex,cgp,1
69,ccx-migration-202-claude-code-baseline-r1,ccx-migration-202,codescalebench,migration,claude-code,baseline,1
70,ccx-migration-202-claude-code-cgp-r1,ccx-migration-202,codescalebench,migration,claude-code,cgp,1
71,ccx-migration-202-gemini-cli-baseline-r1,ccx-migration-202,codescalebench,migration,gemini-cli,baseline,1
72,ccx-migration-202-gemini-cli-cgp-r1,ccx-migration-202,codescalebench,migration,gemini-cli,cgp,1
73,ccx-migration-203-codex-baseline-r1,ccx-migration-203,codescalebench,migration,codex,baseline,1
74,ccx-migration-203-codex-cgp-r1,ccx-migration-203,codescalebench,migration,codex,cgp,1
75,ccx-migration-203-claude-code-baseline-r1,ccx-migration-203,codescalebench,migration,claude-code,baseline,1
76,ccx-migration-203-claude-code-cgp-r1,ccx-migration-203,codescalebench,migration,claude-code,cgp,1
77,ccx-migration-203-gemini-cli-baseline-r1,ccx-migration-203,codescalebench,migration,gemini-cli,baseline,1
78,ccx-migration-203-gemini-cli-cgp-r1,ccx-migration-203,codescalebench,migration,gemini-cli,cgp,1
79,ccx-migration-204-codex-baseline-r1,ccx-migration-204,codescalebench,migration,codex,baseline,1
80,ccx-migration-204-codex-cgp-r1,ccx-migration-204,codescalebench,migration,codex,cgp,1
81,ccx-migration-204-claude-code-baseline-r1,ccx-migration-204,codescalebench,migration,claude-code,baseline,1
82,ccx-migration-204-claude-code-cgp-r1,ccx-migration-204,codescalebench,migration,claude-code,cgp,1
83,ccx-migration-204-gemini-cli-baseline-r1,ccx-migration-204,codescalebench,migration,gemini-cli,baseline,1
84,ccx-migration-204-gemini-cli-cgp-r1,ccx-migration-204,codescalebench,migration,gemini-cli,cgp,1
85,ccx-migration-205-codex-baseline-r1,ccx-migration-205,codescalebench,migration,codex,baseline,1
86,ccx-migration-205-codex-cgp-r1,ccx-migration-205,codescalebench,migration,codex,cgp,1
87,ccx-migration-205-claude-code-baseline-r1,ccx-migration-205,codescalebench,migration,claude-code,baseline,1
88,ccx-migration-205-claude-code-cgp-r1,ccx-migration-205,codescalebench,migration,claude-code,cgp,1
89,ccx-migration-205-gemini-cli-baseline-r1,ccx-migration-205,codescalebench,migration,gemini-cli,baseline,1
90,ccx-migration-205-gemini-cli-cgp-r1,ccx-migration-205,codescalebench,migration,gemini-cli,cgp,1
91,ccx-migration-206-codex-baseline-r1,ccx-migration-206,codescalebench,migration,codex,baseline,1
92,ccx-migration-206-codex-cgp-r1,ccx-migration-206,codescalebench,migration,codex,cgp,1
93,ccx-migration-206-claude-code-baseline-r1,ccx-migration-206,codescalebench,migration,claude-code,baseline,1
94,ccx-migration-206-claude-code-cgp-r1,ccx-migration-206,codescalebench,migration,claude-code,cgp,1
95,ccx-migration-206-gemini-cli-baseline-r1,ccx-migration-206,codescalebench,migration,gemini-cli,baseline,1
96,ccx-migration-206-gemini-cli-cgp-r1,ccx-migration-206,codescalebench,migration,gemini-cli,cgp,1
97,ccx-migration-207-codex-baseline-r1,ccx-migration-207,codescalebench,migration,codex,baseline,1
98,ccx-migration-207-codex-cgp-r1,ccx-migration-207,codescalebench,migration,codex,cgp,1
99,ccx-migration-207-claude-code-baseline-r1,ccx-migration-207,codescalebench,migration,claude-code,baseline,1
100,ccx-migration-207-claude-code-cgp-r1,ccx-migration-207,codescalebench,migration,claude-code,cgp,1
101,ccx-migration-207-gemini-cli-baseline-r1,ccx-migration-207,codescalebench,migration,gemini-cli,baseline,1
102,ccx-migration-207-gemini-cli-cgp-r1,ccx-migration-207,codescalebench,migration,gemini-cli,cgp,1
103,ccx-migration-274-codex-baseline-r1,ccx-migration-274,codescalebench,migration,codex,baseline,1
104,ccx-migration-274-codex-cgp-r1,ccx-migration-274,codescalebench,migration,codex,cgp,1
105,ccx-migration-274-claude-code-baseline-r1,ccx-migration-274,codescalebench,migration,claude-code,baseline,1
106,ccx-migration-274-claude-code-cgp-r1,ccx-migration-274,codescalebench,migration,claude-code,cgp,1
107,ccx-migration-274-gemini-cli-baseline-r1,ccx-migration-274,codescalebench,migration,gemini-cli,baseline,1
108,ccx-migration-274-gemini-cli-cgp-r1,ccx-migration-274,codescalebench,migration,gemini-cli,cgp,1
109,ccx-migration-275-codex-baseline-r1,ccx-migration-275,codescalebench,migration,codex,baseline,1
110,ccx-migration-275-codex-cgp-r1,ccx-migration-275,codescalebench,migration,codex,cgp,1
111,ccx-migration-275-claude-code-baseline-r1,ccx-migration-275,codescalebench,migration,claude-code,baseline,1
112,ccx-migration-275-claude-code-cgp-r1,ccx-migration-275,codescalebench,migration,claude-code,cgp,1
113,ccx-migration-275-gemini-cli-baseline-r1,ccx-migration-275,codescalebench,migration,gemini-cli,baseline,1
114,ccx-migration-275-gemini-cli-cgp-r1,ccx-migration-275,codescalebench,migration,gemini-cli,cgp,1
115,ccx-migration-276-codex-baseline-r1,ccx-migration-276,codescalebench,migration,codex,baseline,1
116,ccx-migration-276-codex-cgp-r1,ccx-migration-276,codescalebench,migration,codex,cgp,1
117,ccx-migration-276-claude-code-baseline-r1,ccx-migration-276,codescalebench,migration,claude-code,baseline,1
118,ccx-migration-276-claude-code-cgp-r1,ccx-migration-276,codescalebench,migration,claude-code,cgp,1
119,ccx-migration-276-gemini-cli-baseline-r1,ccx-migration-276,codescalebench,migration,gemini-cli,baseline,1
120,ccx-migration-276-gemini-cli-cgp-r1,ccx-migration-276,codescalebench,migration,gemini-cli,cgp,1
121,ccx-migration-277-codex-baseline-r1,ccx-migration-277,codescalebench,migration,codex,baseline,1
122,ccx-migration-277-codex-cgp-r1,ccx-migration-277,codescalebench,migration,codex,cgp,1
123,ccx-migration-277-claude-code-baseline-r1,ccx-migration-277,codescalebench,migration,claude-code,baseline,1
124,ccx-migration-277-claude-code-cgp-r1,ccx-migration-277,codescalebench,migration,claude-code,cgp,1
125,ccx-migration-277-gemini-cli-baseline-r1,ccx-migration-277,codescalebench,migration,gemini-cli,baseline,1
126,ccx-migration-277-gemini-cli-cgp-r1,ccx-migration-277,codescalebench,migration,gemini-cli,cgp,1
127,ccx-migration-278-codex-baseline-r1,ccx-migration-278,codescalebench,migration,codex,baseline,1
128,ccx-migration-278-codex-cgp-r1,ccx-migration-278,codescalebench,migration,codex,cgp,1
129,ccx-migration-278-claude-code-baseline-r1,ccx-migration-278,codescalebench,migration,claude-code,baseline,1
130,ccx-migration-278-claude-code-cgp-r1,ccx-migration-278,codescalebench,migration,claude-code,cgp,1
131,ccx-migration-278-gemini-cli-baseline-r1,ccx-migration-278,codescalebench,migration,gemini-cli,baseline,1
132,ccx-migration-278-gemini-cli-cgp-r1,ccx-migration-278,codescalebench,migration,gemini-cli,cgp,1
133,ccx-migration-279-codex-baseline-r1,ccx-migration-279,codescalebench,migration,codex,baseline,1
134,ccx-migration-279-codex-cgp-r1,ccx-migration-279,codescalebench,migration,codex,cgp,1
135,ccx-migration-279-claude-code-baseline-r1,ccx-migration-279,codescalebench,migration,claude-code,baseline,1
136,ccx-migration-279-claude-code-cgp-r1,ccx-migration-279,codescalebench,migration,claude-code,cgp,1
137,ccx-migration-279-gemini-cli-baseline-r1,ccx-migration-279,codescalebench,migration,gemini-cli,baseline,1
138,ccx-migration-279-gemini-cli-cgp-r1,ccx-migration-279,codescalebench,migration,gemini-cli,cgp,1
139,ccx-migration-289-codex-baseline-r1,ccx-migration-289,codescalebench,migration,codex,baseline,1
140,ccx-migration-289-codex-cgp-r1,ccx-migration-289,codescalebench,migration,codex,cgp,1
141,ccx-migration-289-claude-code-baseline-r1,ccx-migration-289,codescalebench,migration,claude-code,baseline,1
142,ccx-migration-289-claude-code-cgp-r1,ccx-migration-289,codescalebench,migration,claude-code,cgp,1
143,ccx-migration-289-gemini-cli-baseline-r1,ccx-migration-289,codescalebench,migration,gemini-cli,baseline,1
144,ccx-migration-289-gemini-cli-cgp-r1,ccx-migration-289,codescalebench,migration,gemini-cli,cgp,1
145,ccx-migration-294-codex-baseline-r1,ccx-migration-294,codescalebench,migration,codex,baseline,1
146,ccx-migration-294-codex-cgp-r1,ccx-migration-294,codescalebench,migration,codex,cgp,1
147,ccx-migration-294-claude-code-baseline-r1,ccx-migration-294,codescalebench,migration,claude-code,baseline,1
148,ccx-migration-294-claude-code-cgp-r1,ccx-migration-294,codescalebench,migration,claude-code,cgp,1
149,ccx-migration-294-gemini-cli-baseline-r1,ccx-migration-294,codescalebench,migration,gemini-cli,baseline,1
150,ccx-migration-294-gemini-cli-cgp-r1,ccx-migration-294,codescalebench,migration,gemini-cli,cgp,1
151,cilium-endpoint-manager-refac-001-codex-baseline-r1,cilium-endpoint-manager-refac-001,codescalebench,refactor,codex,baseline,1
152,cilium-endpoint-manager-refac-001-codex-cgp-r1,cilium-endpoint-manager-refac-001,codescalebench,refactor,codex,cgp,1
153,cilium-endpoint-manager-refac-001-claude-code-baseline-r1,cilium-endpoint-manager-refac-001,codescalebench,refactor,claude-code,baseline,1
154,cilium-endpoint-manager-refac-001-claude-code-cgp-r1,cilium-endpoint-manager-refac-001,codescalebench,refactor,claude-code,cgp,1
155,cilium-endpoint-manager-refac-001-gemini-cli-baseline-r1,cilium-endpoint-manager-refac-001,codescalebench,refactor,gemini-cli,baseline,1
156,cilium-endpoint-manager-refac-001-gemini-cli-cgp-r1,cilium-endpoint-manager-refac-001,codescalebench,refactor,gemini-cli,cgp,1
157,django-request-factory-refac-001-codex-baseline-r1,django-request-factory-refac-001,codescalebench,refactor,codex,baseline,1
158,django-request-factory-refac-001-codex-cgp-r1,django-request-factory-refac-001,codescalebench,refactor,codex,cgp,1
159,django-request-factory-refac-001-claude-code-baseline-r1,django-request-factory-refac-001,codescalebench,refactor,claude-code,baseline,1
160,django-request-factory-refac-001-claude-code-cgp-r1,django-request-factory-refac-001,codescalebench,refactor,claude-code,cgp,1
161,django-request-factory-refac-001-gemini-cli-baseline-r1,django-request-factory-refac-001,codescalebench,refactor,gemini-cli,baseline,1
162,django-request-factory-refac-001-gemini-cli-cgp-r1,django-request-factory-refac-001,codescalebench,refactor,gemini-cli,cgp,1
163,envoy-listener-manager-refac-001-codex-baseline-r1,envoy-listener-manager-refac-001,codescalebench,refactor,codex,baseline,1
164,envoy-listener-manager-refac-001-codex-cgp-r1,envoy-listener-manager-refac-001,codescalebench,refactor,codex,cgp,1
165,envoy-listener-manager-refac-001-claude-code-baseline-r1,envoy-listener-manager-refac-001,codescalebench,refactor,claude-code,baseline,1
166,envoy-listener-manager-refac-001-claude-code-cgp-r1,envoy-listener-manager-refac-001,codescalebench,refactor,claude-code,cgp,1
167,envoy-listener-manager-refac-001-gemini-cli-baseline-r1,envoy-listener-manager-refac-001,codescalebench,refactor,gemini-cli,baseline,1
168,envoy-listener-manager-refac-001-gemini-cli-cgp-r1,envoy-listener-manager-refac-001,codescalebench,refactor,gemini-cli,cgp,1
169,istio-discovery-server-refac-001-codex-baseline-r1,istio-discovery-server-refac-001,codescalebench,refactor,codex,baseline,1
170,istio-discovery-server-refac-001-codex-cgp-r1,istio-discovery-server-refac-001,codescalebench,refactor,codex,cgp,1
171,istio-discovery-server-refac-001-claude-code-baseline-r1,istio-discovery-server-refac-001,codescalebench,refactor,claude-code,baseline,1
172,istio-discovery-server-refac-001-claude-code-cgp-r1,istio-discovery-server-refac-001,codescalebench,refactor,claude-code,cgp,1
173,istio-discovery-server-refac-001-gemini-cli-baseline-r1,istio-discovery-server-refac-001,codescalebench,refactor,gemini-cli,baseline,1
174,istio-discovery-server-refac-001-gemini-cli-cgp-r1,istio-discovery-server-refac-001,codescalebench,refactor,gemini-cli,cgp,1
175,k8s-score-normalizer-refac-001-codex-baseline-r1,k8s-score-normalizer-refac-001,codescalebench,refactor,codex,baseline,1
176,k8s-score-normalizer-refac-001-codex-cgp-r1,k8s-score-normalizer-refac-001,codescalebench,refactor,codex,cgp,1
177,k8s-score-normalizer-refac-001-claude-code-baseline-r1,k8s-score-normalizer-refac-001,codescalebench,refactor,claude-code,baseline,1
178,k8s-score-normalizer-refac-001-claude-code-cgp-r1,k8s-score-normalizer-refac-001,codescalebench,refactor,claude-code,cgp,1
179,k8s-score-normalizer-refac-001-gemini-cli-baseline-r1,k8s-score-normalizer-refac-001,codescalebench,refactor,gemini-cli,baseline,1
180,k8s-score-normalizer-refac-001-gemini-cli-cgp-r1,k8s-score-normalizer-refac-001,codescalebench,refactor,gemini-cli,cgp,1
181,kafka-batch-accumulator-refac-001-codex-baseline-r1,kafka-batch-accumulator-refac-001,codescalebench,refactor,codex,baseline,1
182,kafka-batch-accumulator-refac-001-codex-cgp-r1,kafka-batch-accumulator-refac-001,codescalebench,refactor,codex,cgp,1
183,kafka-batch-accumulator-refac-001-claude-code-baseline-r1,kafka-batch-accumulator-refac-001,codescalebench,refactor,claude-code,baseline,1
184,kafka-batch-accumulator-refac-001-claude-code-cgp-r1,kafka-batch-accumulator-refac-001,codescalebench,refactor,claude-code,cgp,1
185,kafka-batch-accumulator-refac-001-gemini-cli-baseline-r1,kafka-batch-accumulator-refac-001,codescalebench,refactor,gemini-cli,baseline,1
186,kafka-batch-accumulator-refac-001-gemini-cli-cgp-r1,kafka-batch-accumulator-refac-001,codescalebench,refactor,gemini-cli,cgp,1
187,kubernetes-scheduler-profile-refac-001-codex-baseline-r1,kubernetes-scheduler-profile-refac-001,codescalebench,refactor,codex,baseline,1
188,kubernetes-scheduler-profile-refac-001-codex-cgp-r1,kubernetes-scheduler-profile-refac-001,codescalebench,refactor,codex,cgp,1
189,kubernetes-scheduler-profile-refac-001-claude-code-baseline-r1,kubernetes-scheduler-profile-refac-001,codescalebench,refactor,claude-code,baseline,1
190,kubernetes-scheduler-profile-refac-001-claude-code-cgp-r1,kubernetes-scheduler-profile-refac-001,codescalebench,refactor,claude-code,cgp,1
191,kubernetes-scheduler-profile-refac-001-gemini-cli-baseline-r1,kubernetes-scheduler-profile-refac-001,codescalebench,refactor,gemini-cli,baseline,1
192,kubernetes-scheduler-profile-refac-001-gemini-cli-cgp-r1,kubernetes-scheduler-profile-refac-001,codescalebench,refactor,gemini-cli,cgp,1
193,numpy-array-dispatch-refac-001-codex-baseline-r1,numpy-array-dispatch-refac-001,codescalebench,refactor,codex,baseline,1
194,numpy-array-dispatch-refac-001-codex-cgp-r1,numpy-array-dispatch-refac-001,codescalebench,refactor,codex,cgp,1
195,numpy-array-dispatch-refac-001-claude-code-baseline-r1,numpy-array-dispatch-refac-001,codescalebench,refactor,claude-code,baseline,1
196,numpy-array-dispatch-refac-001-claude-code-cgp-r1,numpy-array-dispatch-refac-001,codescalebench,refactor,claude-code,cgp,1
197,numpy-array-dispatch-refac-001-gemini-cli-baseline-r1,numpy-array-dispatch-refac-001,codescalebench,refactor,gemini-cli,baseline,1
198,numpy-array-dispatch-refac-001-gemini-cli-cgp-r1,numpy-array-dispatch-refac-001,codescalebench,refactor,gemini-cli,cgp,1
199,pandas-index-engine-refac-001-codex-baseline-r1,pandas-index-engine-refac-001,codescalebench,refactor,codex,baseline,1
200,pandas-index-engine-refac-001-codex-cgp-r1,pandas-index-engine-refac-001,codescalebench,refactor,codex,cgp,1
201,pandas-index-engine-refac-001-claude-code-baseline-r1,pandas-index-engine-refac-001,codescalebench,refactor,claude-code,baseline,1
202,pandas-index-engine-refac-001-claude-code-cgp-r1,pandas-index-engine-refac-001,codescalebench,refactor,claude-code,cgp,1
203,pandas-index-engine-refac-001-gemini-cli-baseline-r1,pandas-index-engine-refac-001,codescalebench,refactor,gemini-cli,baseline,1
204,pandas-index-engine-refac-001-gemini-cli-cgp-r1,pandas-index-engine-refac-001,codescalebench,refactor,gemini-cli,cgp,1
205,prometheus-query-engine-refac-001-codex-baseline-r1,prometheus-query-engine-refac-001,codescalebench,refactor,codex,baseline,1
206,prometheus-query-engine-refac-001-codex-cgp-r1,prometheus-query-engine-refac-001,codescalebench,refactor,codex,cgp,1
207,prometheus-query-engine-refac-001-claude-code-baseline-r1,prometheus-query-engine-refac-001,codescalebench,refactor,claude-code,baseline,1
208,prometheus-query-engine-refac-001-claude-code-cgp-r1,prometheus-query-engine-refac-001,codescalebench,refactor,claude-code,cgp,1
209,prometheus-query-engine-refac-001-gemini-cli-baseline-r1,prometheus-query-engine-refac-001,codescalebench,refactor,gemini-cli,baseline,1
210,prometheus-query-engine-refac-001-gemini-cli-cgp-r1,prometheus-query-engine-refac-001,codescalebench,refactor,gemini-cli,cgp,1
211,pytorch-optimizer-foreach-refac-001-codex-baseline-r1,pytorch-optimizer-foreach-refac-001,codescalebench,refactor,codex,baseline,1
212,pytorch-optimizer-foreach-refac-001-codex-cgp-r1,pytorch-optimizer-foreach-refac-001,codescalebench,refactor,codex,cgp,1
213,pytorch-optimizer-foreach-refac-001-claude-code-baseline-r1,pytorch-optimizer-foreach-refac-001,codescalebench,refactor,claude-code,baseline,1
214,pytorch-optimizer-foreach-refac-001-claude-code-cgp-r1,pytorch-optimizer-foreach-refac-001,codescalebench,refactor,claude-code,cgp,1
215,pytorch-optimizer-foreach-refac-001-gemini-cli-baseline-r1,pytorch-optimizer-foreach-refac-001,codescalebench,refactor,gemini-cli,baseline,1
216,pytorch-optimizer-foreach-refac-001-gemini-cli-cgp-r1,pytorch-optimizer-foreach-refac-001,codescalebench,refactor,gemini-cli,cgp,1
217,strata-fx-european-refac-001-codex-baseline-r1,strata-fx-european-refac-001,codescalebench,refactor,codex,baseline,1
218,strata-fx-european-refac-001-codex-cgp-r1,strata-fx-european-refac-001,codescalebench,refactor,codex,cgp,1
219,strata-fx-european-refac-001-claude-code-baseline-r1,strata-fx-european-refac-001,codescalebench,refactor,claude-code,baseline,1
220,strata-fx-european-refac-001-claude-code-cgp-r1,strata-fx-european-refac-001,codescalebench,refactor,claude-code,cgp,1
221,strata-fx-european-refac-001-gemini-cli-baseline-r1,strata-fx-european-refac-001,codescalebench,refactor,gemini-cli,baseline,1
222,strata-fx-european-refac-001-gemini-cli-cgp-r1,strata-fx-european-refac-001,codescalebench,refactor,gemini-cli,cgp,1
223,terraform-eval-context-refac-001-codex-baseline-r1,terraform-eval-context-refac-001,codescalebench,refactor,codex,baseline,1
224,terraform-eval-context-refac-001-codex-cgp-r1,terraform-eval-context-refac-001,codescalebench,refactor,codex,cgp,1
225,terraform-eval-context-refac-001-claude-code-baseline-r1,terraform-eval-context-refac-001,codescalebench,refactor,claude-code,baseline,1
226,terraform-eval-context-refac-001-claude-code-cgp-r1,terraform-eval-context-refac-001,codescalebench,refactor,claude-code,cgp,1
227,terraform-eval-context-refac-001-gemini-cli-baseline-r1,terraform-eval-context-refac-001,codescalebench,refactor,gemini-cli,baseline,1
228,terraform-eval-context-refac-001-gemini-cli-cgp-r1,terraform-eval-context-refac-001,codescalebench,refactor,gemini-cli,cgp,1
229,beam-pipeline-builder-refac-001-codex-baseline-r1,beam-pipeline-builder-refac-001,codescalebench,refactor,codex,baseline,1
230,beam-pipeline-builder-refac-001-codex-cgp-r1,beam-pipeline-builder-refac-001,codescalebench,refactor,codex,cgp,1
231,beam-pipeline-builder-refac-001-claude-code-baseline-r1,beam-pipeline-builder-refac-001,codescalebench,refactor,claude-code,baseline,1
232,beam-pipeline-builder-refac-001-claude-code-cgp-r1,beam-pipeline-builder-refac-001,codescalebench,refactor,claude-code,cgp,1
233,beam-pipeline-builder-refac-001-gemini-cli-baseline-r1,beam-pipeline-builder-refac-001,codescalebench,refactor,gemini-cli,baseline,1
234,beam-pipeline-builder-refac-001-gemini-cli-cgp-r1,beam-pipeline-builder-refac-001,codescalebench,refactor,gemini-cli,cgp,1
235,roslyn-symbol-resolver-refac-001-codex-baseline-r1,roslyn-symbol-resolver-refac-001,codescalebench,refactor,codex,baseline,1
236,roslyn-symbol-resolver-refac-001-codex-cgp-r1,roslyn-symbol-resolver-refac-001,codescalebench,refactor,codex,cgp,1
237,roslyn-symbol-resolver-refac-001-claude-code-baseline-r1,roslyn-symbol-resolver-refac-001,codescalebench,refactor,claude-code,baseline,1
238,roslyn-symbol-resolver-refac-001-claude-code-cgp-r1,roslyn-symbol-resolver-refac-001,codescalebench,refactor,claude-code,cgp,1
239,roslyn-symbol-resolver-refac-001-gemini-cli-baseline-r1,roslyn-symbol-resolver-refac-001,codescalebench,refactor,gemini-cli,baseline,1
240,roslyn-symbol-resolver-refac-001-gemini-cli-cgp-r1,roslyn-symbol-resolver-refac-001,codescalebench,refactor,gemini-cli,cgp,1
241,flipt-dep-refactor-001-codex-baseline-r1,flipt-dep-refactor-001,codescalebench,refactor,codex,baseline,1
242,flipt-dep-refactor-001-codex-cgp-r1,flipt-dep-refactor-001,codescalebench,refactor,codex,cgp,1
